#unity identifier,control name
Sheet,x360
Button0,A Button
Button1,B Button
Button2,X Button
Button3,Y Button
Button4,Left Bumper
Button5,Right Bumper
Button8,Left Stick Button
Button9,Right Stick Button
Button10,Start Button
Button11,Back Button
Button12,Guide Button
Axis0-,Left Stick Left
Axis0+,Left Stick Right
Axis1-,Left Stick Up
Axis1+,Left Stick Down
Axis2-,Right Stick Left
Axis2+,Right Stick Right
Axis3-,Right Stick Up
Axis3+,Right Stick Down
Axis4-,DPad Left
Axis4+,DPad Right
Axis5-,DPad Up
Axis5+,DPad Down
Axis13-,IGNORE
Axis13+,Left Trigger
Axis14-,IGNORE
Axis14+,Right Trigger
