#unity identifier,control name
Sheet,ouya
Button0,O Button
Button1,U Button
Button13,Y Button
Button2,A Button
Button3,Left Bumper
Button14,Right Bumper
Button4,Left Stick Button
Button5,Right Stick Button
Button6,DPad Up
Button7,DPad Down
Button11,DPad Left
Button10,DPad Right
Button12,Left Trigger Button
Button8,Right Trigger Button
Button9,Menu Button
Axis0-,Left Stick Left
Axis0+,Left Stick Right
Axis1-,Left Stick Up
Axis1+,Left Stick Down
Axis13-,IGNORE
Axis13+,Left Trigger
Axis2-,Right Stick Left
Axis2+,Right Stick Right
Axis3-,Right Stick Up
Axis3+,Right Stick Down
Axis14-,IGNORE
