#unity identifier,control name
Sheet,ps4
Button0,Square
Button1,Cross
Button2,Triangle
Button3,L1
Button4,IGNORE
Button5,IGNORE
Button6,Share Button
Button7,Options Button
Button8,Touchpad Button
Button13,Circle
Button14,R1
Button11,Left Stick Button
Button10,Right Stick Button
Button12,PlayStation Button
Axis0-,Left Stick Left
Axis0+,Left Stick Right
Axis1-,Left Stick Up
Axis1+,Left Stick Down
Axis2-,IGNORE
Axis2+,L2
Axis3-,IGNORE
Axis3+,R2
Axis4-,DPad Left
Axis4+,DPad Right
Axis5-,DPad Up
Axis5+,DPad Down
Axis13-,Right Stick Left
Axis13+,Right Stick Right
Axis14-,Right Stick Up
Axis14+,Right Stick Down
