#unity identifier,control name
JoystickButton0,A Button
JoystickButton1,B Button
JoystickButton2,X Button
JoystickButton3,Y Button
JoystickButton4,Left Bumper
JoystickButton5,Right Bumper
JoystickButton8,Left Stick Button
JoystickButton9,Right Stick Button
JoystickButton10,Start Button
JoystickButton11,Back Button
JoystickButton12,Guide Button
JoystickAxis0-,Left Stick Left
JoystickAxis0+,Left Stick Right
JoystickAxis1-,Left Stick Up
JoystickAxis1+,Left Stick Down
JoystickAxis2-,Right Stick Left
JoystickAxis2+,Right Stick Right
JoystickAxis3-,Right Stick Up
JoystickAxis3+,Right Stick Down
JoystickAxis13+,Left Trigger
JoystickAxis14+,Right Trigger
