#unity identifier,control name
JoystickButton0,Triangle
JoystickButton1,Circle
JoystickButton2,Cross
JoystickButton3,Square
JoystickButton4,L2
JoystickButton5,R2
JoystickButton6,L1
JoystickButton7,R1
JoystickButton8,Select
JoystickButton9,Left Stick Button
JoystickButton10,Right Stick Button
JoystickButton11,Start
JoystickButton12,DPad Up
JoystickButton13,DPad Right
JoystickButton14,DPad Down
JoystickButton15,DPad Left
JoystickAxis0-,Left Stick Left
JoystickAxis0+,Left Stick Right
JoystickAxis1-,Left Stick Up
JoystickAxis1+,Left Stick Down
JoystickAxis2-,Right Stick Left
JoystickAxis2+,Right Stick Right
JoystickAxis3-,Right Stick Up
JoystickAxis3+,Right Stick Down
