#unity identifier,control name
JoystickButton0,A Button
JoystickButton1,X Button
JoystickButton2,B Button
JoystickButton3,Y Button
JoystickButton5,Z Button
JoystickButton7,Start Button
JoystickAxis0-,Control Stick Left
JoystickAxis0+,Control Stick Right
JoystickAxis1-,Control Stick Up
JoystickAxis1+,Control Stick Down
JoystickAxis2+,Left Trigger
JoystickAxis3-,C Stick Left
JoystickAxis3+,C Stick Right
JoystickAxis4-,C Stick Down
JoystickAxis4+,C Stick Up
JoystickAxis5+,Right Trigger
JoystickAxis6-,DPad Left
JoystickAxis6+,DPad Right
JoystickAxis7-,DPad Up
JoystickAxis7+,DPad Down
