#unity identifier,control name
JoystickButton0,A Button
JoystickButton1,C-Down
JoystickButton2,C-Right
JoystickButton3,B Button
JoystickButton4,C-Left
JoystickButton5,C-Up
JoystickButton6,L Button
JoystickButton7,R Button
JoystickButton8,Start Button
JoystickButton9,Z Button
JoystickButton10,DPad Up
JoystickButton11,DPad Down
JoystickButton12,DPad Left
JoystickButton13,DPad Right
JoystickAxis0-,Control Stick Left
JoystickAxis0+,Control Stick Right
JoystickAxis1-,Control Stick Up
JoystickAxis1+,Control Stick Down
