#unity identifier,control name
JoystickButton0,A Button
JoystickButton1,B Button
JoystickButton2,X Button
JoystickButton3,Y Button
JoystickButton4,Left Bumper
JoystickButton5,Right Bumper
JoystickButton6,Back Button
JoystickButton7,Start Button
JoystickButton8,Left Stick Button
JoystickButton9,Right Stick Button
JoystickAxis0-,Left Stick Left
JoystickAxis0+,Left Stick Right
JoystickAxis1-,Left Stick Up
JoystickAxis1+,Left Stick Down
JoystickAxis2-,IGNORE
JoystickAxis2+,IGNORE
JoystickAxis3-,Right Stick Left
JoystickAxis3+,Right Stick Right
JoystickAxis4-,Right Stick Up
JoystickAxis4+,Right Stick Down
JoystickAxis5-,DPad Left
JoystickAxis5+,DPad Right
JoystickAxis6-,DPad Down
JoystickAxis6+,DPad Up
JoystickAxis8+,Left Trigger
JoystickAxis9+,Right Trigger
