#unity identifier,control name
Sheet,ps3
Button0,Triangle
Button1,Circle
Button2,Cross
Button3,Square
Button4,L1
Button5,R1
Button6,IGNORE
Button7,IGNORE
Button8,Select
Button9,Left Stick Button
Button10,Right Stick Button
Button11,Start
Button12,PlayStation Button
Axis0-,Left Stick Left
Axis0+,Left Stick Right
Axis1-,Left Stick Up
Axis1+,Left Stick Down
Axis2-,L2
Axis2+,R2
Axis3-,Right Stick Left
Axis3+,Right Stick Right
Axis4-,Right Stick Up
Axis4+,Right Stick Down
Axis8-,DPad Left
Axis8+,DPad Right
Axis9-,DPad Down
Axis9+,DPad Up
