#unity identifier,control name
JoystickButton0,Triangle
JoystickButton1,Circle
JoystickButton2,Cross
JoystickButton3,Square
JoystickButton4,L2
JoystickButton5,R2
JoystickButton6,L1
JoystickButton7,R1
JoystickButton8,Select
JoystickButton9,Start
JoystickButton10,Left Stick Button
JoystickButton11,Right Stick Button
JoystickAxis0-,Left Stick Left
JoystickAxis0+,Left Stick Right
JoystickAxis1-,Left Stick Up
JoystickAxis1+,Left Stick Down
JoystickAxis3-,Right Stick Left
JoystickAxis3+,Right Stick Right
JoystickAxis2-,Right Stick Up
JoystickAxis2+,Right Stick Down
JoystickAxis4-,DPad Left
JoystickAxis4+,DPad Right
JoystickAxis5-,DPad Down
JoystickAxis5+,DPad Up
